cpuwithoverprovisioning|version|memorytotal|zoneid|cpunumber|managementserverid|lastpinged|memoryused|id|networkkbswrite|suitableformigration|clusterid|capabilities|state|memoryallocated|cpuused|cpuspeed|type|events|zonename|podid|clustertype|hahost|cpuallocated|ipaddress|name|networkkbsread|created|clustername|hypervisor|islocalstorageactive|resourcestate|hosttags|podname
166400.0|3.0.4.20120717230217|134355658752|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:30:52+0700|74732956|ec5a157d-4b6c-4d30-93e8-06cc7a81642a|0|False|16448b17-5338-4ff7-ba09-501841044ea6|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|73282879488|3.4%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|85b2e975-60a5-4009-8146-c1daa436b1f8|CloudManaged|False|144.95%|192.168.13.14|xs53.gdcloud.com|0|2013-09-28T01:13:58+0800|gdupc-cluster1|XenServer|False|Enabled|xen53|生产系统-POD2
166400.0|3.0.4.20120717230217|134352820224|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-17T00:12:47+0700|40754816|f1e89379-5fc2-4661-bd59-750991c2eecc|11867|False|3b1f5a22-4782-4780-99fd-447ceb1f9a02|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|38788923392|2.12%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|6cc5fba5-39ea-4cef-b5aa-2c2640e7b006|CloudManaged|False|56.85%|192.168.201.1|xstest1.gdcloud.com|11873|2013-10-15T16:39:37+0800|test-z2p201c1|XenServer|False|Enabled|xstest1|TEST-Z2POD201
166400.0|3.0.4.20120717230217|134348764032|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|104051912|98cf1532-3428-4a57-8540-5653f7d3aaaf|85|False|f4dbe3bb-aaf7-4de6-80de-e8bb2db21ec5|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|103079215104|0.31%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|150%|192.168.14.221|xs221.gdcloud.com|166|2013-10-18T15:28:22+0800|z3p1c3|XenServer|False|Enabled|xs221|信息系统-POD1
166400.0|3.0.4.20120717230217|134344224000|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|53301248|6a0d24d5-5baf-4c75-9eff-f762ef3fe892|10|False|f4dbe3bb-aaf7-4de6-80de-e8bb2db21ec5|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|51539607552|0.47%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|75%|192.168.14.223|xs223.gdcloud.com|111|2013-10-18T17:48:16+0800|z3p1c3|XenServer|False|Enabled|xs222|信息系统-POD1
166400.0|3.0.4.20120717230217|134343086976|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|36517472|ec5236d4-8457-4435-bda0-8a6b68e76d00|6186|False|f4dbe3bb-aaf7-4de6-80de-e8bb2db21ec5|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|34493956096|0.24%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|50.6%|192.168.14.222|xs222.gdcloud.com|6288|2013-10-18T17:48:39+0800|z3p1c3|XenServer|False|Enabled|xs222|信息系统-POD1
128000.0|3.0.4.20120717230217|100529952768|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|95161220|d102a8f5-089d-4a71-a7d1-30fcca5c7885|0|False|28fc4a61-a7ec-4e6e-a091-5f2e62de3a60|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|94489280512|1.52%|2000|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|130%|192.168.14.14|xs203.gdcloud.com|386|2013-10-18T18:09:24+0800|z3p1c1|XenServer|False|Enabled|xen203|信息系统-POD1
166400.0|3.0.4.20120717230217|134349901056|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|120968648|f529bf46-947c-4a24-bb40-2b414e025e79|4745|False|f4dbe3bb-aaf7-4de6-80de-e8bb2db21ec5|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|120259084288|0.37%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|175%|192.168.14.224|xs224.gdcloud.com|1529|2013-10-18T22:57:09+0800|z3p1c3|XenServer|False|Enabled|xs224|信息系统-POD1
166400.0|3.0.4.20120717230217|134343086976|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|19470136|46ed6bbc-5a3d-47b9-a1ce-f3d3551fdb56|0|False|f4dbe3bb-aaf7-4de6-80de-e8bb2db21ec5|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|17179869184|0.1%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|25%|192.168.14.225|xs225.gdcloud.com|122|2013-10-21T17:22:20+0800|z3p1c3|XenServer|False|Enabled|xs225|信息系统-POD1
166400.0|3.0.4.20120717230217|134351602560|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:30:52+0700|53318520|82bb8be7-15b4-4716-9bf3-5169182118bf|529979|False|16448b17-5338-4ff7-ba09-501841044ea6|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|51539607552|4.27%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|85b2e975-60a5-4009-8146-c1daa436b1f8|CloudManaged|False|112.5%|192.168.13.15|xs226.gdcloud.com|7940661|2013-10-23T16:38:33+0800|gdupc-cluster1|XenServer|False|Enabled|xs226|生产系统-POD2
166400.0|3.0.4.20120717230217|134349981696|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:30:52+0700|36397432|9fd0fce4-6c8c-45c9-a9d8-0649a8d627c3|363155|False|16448b17-5338-4ff7-ba09-501841044ea6|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|34359738368|0.98%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|85b2e975-60a5-4009-8146-c1daa436b1f8|CloudManaged|False|81.25%|192.168.13.13|xs52.gdcloud.com|303569|2013-10-24T17:18:50+0800|gdupc-cluster1|XenServer|False|Enabled|xen52|生产系统-POD2
