esx_vsphere_hostsystem.state,tcp,no,yes,Overall state
esx_vsphere_objects,tcp,no,yes,%s
esx_vsphere_sensors,tcp,no,yes,Hardware Sensors
esx_vsphere_vm.cpu,tcp,yes,yes,ESX CPU
esx_vsphere_vm.heartbeat,tcp,no,yes,ESX Heartbeat
esx_vsphere_vm.mem_usage,tcp,yes,yes,ESX Memory
esx_vsphere_vm.name,tcp,no,yes,ESX Name
etherbox.humidity,snmp,yes,yes,Sensor %s
etherbox.smoke,snmp,yes,yes,Sensor %s
etherbox.switch,snmp,yes,yes,Sensor %s
etherbox.temp,snmp,yes,yes,Sensor %s
f5_bigip_cluster,snmp,no,yes,Config Sync status
f5_bigip_fans,snmp,no,yes,FAN %s
f5_bigip_interfaces,snmp,yes,yes,f5 Interface %s
f5_bigip_pool,snmp,no,yes,Load Balancing Pool %s
f5_bigip_psu,snmp,no,yes,PSU %s
f5_bigip_temp,snmp,yes,yes,Temperature %s
f5_bigip_vserver,snmp,no,yes,Virtual Server %s
fileinfo,tcp,yes,yes,File %s
fileinfo.groups,tcp,yes,yes,File group %s
fjdarye100_cadaps,snmp,no,yes,Channel Adapter %s
fjdarye100_cmods,snmp,no,yes,Channel Module %s
fjdarye100_cmods_mem,snmp,no,yes,Channel Module Memory %s
fjdarye100_conencs,snmp,no,yes,Controller Enclosure %s
fjdarye100_cpsus,snmp,no,yes,CPSU %s
fjdarye100_devencs,snmp,no,yes,Device Enclosure %s
fjdarye100_disks,snmp,no,yes,Disk %s
fjdarye100_disks.summary,snmp,no,yes,Disk summary
fjdarye100_rluns,snmp,no,yes,RLUN %s
fjdarye100_sum,snmp,no,yes,Summary Status %s
fjdarye100_syscaps,snmp,no,yes,System Capacitor Unit %s
fjdarye60_cadaps,snmp,no,yes,Channel Adapter %s
fjdarye60_cmods,snmp,no,yes,Channel Module %s
fjdarye60_cmods_flash,snmp,no,yes,Channel Module Flash %s
fjdarye60_cmods_mem,snmp,no,yes,Channel Module Memory %s
fjdarye60_conencs,snmp,no,yes,Controller Enclosure %s
fjdarye60_devencs,snmp,no,yes,Device Enclosure %s
fjdarye60_disks,snmp,no,yes,Disk %s
fjdarye60_disks.summary,snmp,no,yes,Disk summary
fjdarye60_expanders,snmp,no,yes,Expander %s
fjdarye60_inletthmls,snmp,no,yes,Inlet Thermal %s
fjdarye60_psus,snmp,no,yes,PSU %s
fjdarye60_rluns,snmp,no,yes,RLUN %s
fjdarye60_sum,snmp,no,yes,Summary Status %s
fjdarye60_syscaps,snmp,no,yes,System Capacitor Unit %s
fjdarye60_thmls,snmp,no,yes,Thermal %s
fortigate_cpu,snmp,yes,yes,CPU utilization
fortigate_memory,snmp,yes,yes,Memory usage
fortigate_sessions,snmp,yes,yes,Sessions
fsc_fans,snmp,yes,yes,FSC %s
fsc_ipmi_mem_status,tcp,yes,yes,IPMI Memory status %s
fsc_subsystems,snmp,no,yes,FSC %s
fsc_temp,snmp,yes,yes,Temperature %s
genua_carp,snmp,no,yes,Carp Interface %s
genua_fan,snmp,yes,yes,FAN %s
genua_pfstate,snmp,yes,yes,Paketfilter Status
genua_state_correlation,snmp,no,yes,Carp Correlation
h3c_lanswitch_cpu,snmp,yes,yes,CPU Utilization %s
h3c_lanswitch_sensors,snmp,no,yes,%s
heartbeat_crm,tcp,no,yes,Heartbeat CRM General
heartbeat_crm.resources,tcp,no,yes,Heartbeat CRM %s
heartbeat_nodes,tcp,no,yes,Heartbeat Node %s
heartbeat_rscstatus,tcp,no,yes,Heartbeat Ressource Status
hp_blade,snmp,no,yes,General Status
hp_blade_blades,snmp,no,yes,Blade %s
hp_blade_fan,snmp,no,yes,FAN %s
hp_blade_manager,snmp,no,yes,Manager %s
hp_blade_psu,snmp,yes,yes,PSU %s
hp_eml_sum,snmp,no,yes,Summary Status
hp_procurve_cpu,snmp,yes,yes,CPU utilization
hp_procurve_mem,snmp,yes,yes,Memory
hp_procurve_sensors,snmp,no,yes,Sensor %s
hp_proliant,snmp,no,yes,General Status
hp_proliant_cpu,snmp,no,yes,HW CPU %s
hp_proliant_da_cntlr,snmp,no,yes,HW Controller %s
hp_proliant_da_phydrv,snmp,no,yes,HW Phydrv %s
hp_proliant_fans,snmp,yes,yes,HW FAN%s
hp_proliant_mem,snmp,no,yes,HW Mem %s
hp_proliant_psu,snmp,no,yes,HW PSU %s
hp_proliant_temp,snmp,yes,yes,Temperature %s
hp_sts_drvbox,snmp,no,yes,Drive Box %s
hpux_cpu,tcp,yes,yes,CPU load
hpux_fchba,tcp,no,yes,FC HBA %s
hpux_if,tcp,yes,yes,NIC %s
hpux_lunstats,tcp,yes,yes,Disk IO %s
hpux_lvm,tcp,no,yes,Logical Volume %s
hpux_multipath,tcp,no,yes,Multipath %s
hpux_serviceguard,tcp,no,yes,Serviceguard
hpux_snmp_cs.cpu,snmp,yes,yes,CPU utilization
hpux_tunables.maxfiles_lim,tcp,yes,yes,Number of open files
hpux_tunables.nkthread,tcp,yes,yes,Number of threads
hpux_tunables.nproc,tcp,yes,yes,Number of processes
hpux_tunables.semmni,tcp,yes,yes,Number of IPC Semaphore IDs
hpux_tunables.semmns,tcp,yes,yes,Number of IPC Semaphores
hpux_tunables.shmseg,tcp,yes,yes,Number of shared memory segments
hr_cpu,snmp,yes,yes,CPU utilization
hr_fs,snmp,yes,yes,fs_%s
hr_mem,snmp,yes,yes,Memory used
hwg_temp,snmp,yes,yes,Temperature %s
hyperv_vms,tcp,no,yes,hyperv_vms
ibm_imm_health,snmp,no,yes,System health
ibm_rsa_health,snmp,no,yes,System health
ibm_xraid_pdisks,snmp,no,yes,RAID PDisk %s
if,snmp,yes,yes,Interface %s
if64,snmp,yes,yes,Interface %s
if64_tplink,snmp,yes,yes,Interface %s
if_lancom,snmp,yes,yes,Interface %s
ifoperstatus,snmp,no,yes,Interface %s
ipmi,tcp,yes,yes,IPMI Sensor %s
ipmi_sensors,tcp,yes,yes,IPMI Sensor %s
ironport_misc,tcp,no,no,%s
j4p_performance.app_sess,tcp,yes,yes,JMX %s Sessions
j4p_performance.app_state,tcp,no,yes,JMX %s State
j4p_performance.mem,tcp,yes,yes,JMX %s Memory
j4p_performance.serv_req,tcp,yes,yes,JMX %s Requests
j4p_performance.threads,tcp,yes,yes,JMX %s Threads
j4p_performance.uptime,tcp,yes,yes,JMX %s Uptime
jar_signature,tcp,no,yes,Jar-Signature %s
job,tcp,yes,yes,Job %s
jolokia_info,tcp,no,yes,JVM %s
jolokia_metrics.app_sess,tcp,yes,yes,JVM %s Sessions
jolokia_metrics.app_state,tcp,no,yes,JVM %s State
jolokia_metrics.bea_queue,tcp,yes,yes,JVM %s Queue
jolokia_metrics.bea_requests,tcp,yes,yes,JVM %s Requests
jolokia_metrics.bea_sess,tcp,yes,yes,JVM %s Sessions
jolokia_metrics.bea_threads,tcp,yes,yes,JVM %s Threads
jolokia_metrics.mem,tcp,yes,yes,JVM %s Memory
jolokia_metrics.requests,tcp,yes,yes,JVM %s Requests
jolokia_metrics.serv_req,tcp,yes,yes,JVM %s Requests
jolokia_metrics.threads,tcp,yes,yes,JVM %s Threads
jolokia_metrics.uptime,tcp,yes,yes,JVM %s Uptime
kernel,tcp,yes,yes,Kernel %s
kernel.util,tcp,yes,yes,CPU utilization
lgp_info,snmp,no,yes,Liebert Info
lgp_pdu_aux,snmp,yes,yes,Liebert PDU AUX %s
lgp_pdu_info,snmp,no,yes,Liebert PDU Info %s
liebert_bat_temp,snmp,yes,yes,Battery Temp
livestatus_status,tcp,yes,yes,OMD %s performance
lnx_bonding,tcp,no,yes,Bonding Interface %s
lnx_if,tcp,yes,yes,Interface %s
lnx_thermal,tcp,yes,yes,Temperature %s
local,tcp,yes,yes,%s
logwatch,tcp,no,yes,LOG %s
logwatch.ec,tcp,no,yes,Log Forwarding
lparstat_aix,tcp,yes,yes,lparstat
lparstat_aix.cpu_util,tcp,yes,yes,CPU utilization
lsi.array,tcp,no,yes,RAID array %s
lsi.disk,tcp,no,yes,RAID disk %s
