-----SNMP query started-----
1: productType.0 pciBased(2)
2: productVersion.0 NetApp Release 8.1.1 7-Mode: Mon Jul 30 12:49:46 PDT 2012
3: productId.0 2014941127
4: productVendor.0 netapp(1)
5: productModel.0 FAS3240
6: productFirmwareVersion.0 5.1.1
7: productGuiUrl.0 https://:443/na_admin
8: productApiUrl.0 https://:443/servlets/netapp.servlets.admin.XMLrequest_filer
9: productSerialNum.0 850000223796
10: productPartnerSerialNum.0 unknown
11: productCPUArch.0 5
12: productTrapData.0 Trap variable currrently unused.
13: productMachineType.0 FAS3240
205: product.14.1.4.49 1
206: product.14.1.5.1 1
207: product.14.1.5.2 1
208: product.14.1.5.3 1
209: product.14.1.5.4 1
210: product.14.1.5.5 1
211: product.14.1.5.6 1
212: product.14.1.5.7 1
213: product.14.1.5.8 1
214: product.14.1.5.9 1
215: product.14.1.5.10 1
216: product.14.1.5.11 1
217: product.14.1.5.12 1
218: product.14.1.5.13 1
219: product.14.1.5.14 1
220: product.14.1.5.15 1
221: product.14.1.5.16 1
222: product.14.1.5.17 1
223: product.14.1.5.18 1
224: product.14.1.5.19 1
225: product.14.1.5.20 1
226: product.14.1.5.21 1
227: product.14.1.5.22 1
228: product.14.1.5.23 1
229: product.14.1.5.24 1
230: product.14.1.5.25 1
231: product.14.1.5.26 1
232: product.14.1.5.27 1
233: product.14.1.5.28 1
234: product.14.1.5.29 1
235: product.14.1.5.30 1
236: product.14.1.5.31 1
237: product.14.1.5.32 1
238: product.14.1.5.33 1
239: product.14.1.5.34 1
240: product.14.1.5.35 1
241: product.14.1.5.36 1
242: product.14.1.5.37 1
243: product.14.1.5.39 1
244: product.14.1.5.40 1
245: product.14.1.5.41 1
246: product.14.1.5.42 1
247: product.14.1.5.43 1
248: product.14.1.5.44 1
249: product.14.1.5.45 1
250: product.14.1.5.46 1
251: product.14.1.5.47 1
252: product.14.1.5.48 1
253: product.14.1.5.49 1
254: product.14.1.6.1 0
255: product.14.1.6.2 0
256: product.14.1.6.3 0
257: product.14.1.6.4 0
258: product.14.1.6.5 0
259: product.14.1.6.6 0
260: product.14.1.6.7 0
261: product.14.1.6.8 0
262: product.14.1.6.9 0
263: product.14.1.6.10 0
264: product.14.1.6.11 0
265: product.14.1.6.12 0
266: product.14.1.6.13 0
267: product.14.1.6.14 0
268: product.14.1.6.15 0
269: product.14.1.6.16 0
270: product.14.1.6.17 0
271: product.14.1.6.18 0
272: product.14.1.6.19 0
273: product.14.1.6.20 0
274: product.14.1.6.21 0
275: product.14.1.6.22 0
276: product.14.1.6.23 0
277: product.14.1.6.24 0
278: product.14.1.6.25 0
279: product.14.1.6.26 0
280: product.14.1.6.27 0
281: product.14.1.6.28 0
282: product.14.1.6.29 0
283: product.14.1.6.30 0
284: product.14.1.6.31 0
285: product.14.1.6.32 0
286: product.14.1.6.33 0
287: product.14.1.6.34 0
288: product.14.1.6.35 0
289: product.14.1.6.36 0
290: product.14.1.6.37 0
291: product.14.1.6.39 0
292: product.14.1.6.40 0
293: product.14.1.6.41 0
294: product.14.1.6.42 0
295: product.14.1.6.43 0
296: product.14.1.6.44 0
297: product.14.1.6.45 0
298: product.14.1.6.46 0
299: product.14.1.6.47 0
300: product.14.1.6.48 0
301: product.14.1.6.49 0
302: product.14.1.7.1 2
303: product.14.1.7.2 1
304: product.14.1.7.3 1
305: product.14.1.7.4 1
306: product.14.1.7.5 2
307: product.14.1.7.6 2
308: product.14.1.7.7 1
309: product.14.1.7.8 2
310: product.14.1.7.9 1
311: product.14.1.7.10 2
312: product.14.1.7.11 2
313: product.14.1.7.12 2
314: product.14.1.7.13 1
315: product.14.1.7.14 1
316: product.14.1.7.15 2
317: product.14.1.7.16 2
318: product.14.1.7.17 1
319: product.14.1.7.18 2
320: product.14.1.7.19 2
321: product.14.1.7.20 2
322: product.14.1.7.21 2
323: product.14.1.7.22 1
324: product.14.1.7.23 1
325: product.14.1.7.24 1
326: product.14.1.7.25 1
327: product.14.1.7.26 1
328: product.14.1.7.27 1
329: product.14.1.7.28 1
330: product.14.1.7.29 1
331: product.14.1.7.30 1
332: product.14.1.7.31 1
333: product.14.1.7.32 1
334: product.14.1.7.33 1
335: product.14.1.7.34 1
336: product.14.1.7.35 2
337: product.14.1.7.36 1
338: product.14.1.7.37 1
339: product.14.1.7.39 1
340: product.14.1.7.40 2
341: product.14.1.7.41 1
342: product.14.1.7.42 1
343: product.14.1.7.43 2
344: product.14.1.7.44 2
345: product.14.1.7.45 2
346: product.14.1.7.46 2
347: product.14.1.7.47 1
348: product.14.1.7.48 1
349: product.14.1.7.49 2
350: cpuUpTime.0 87 days, 22:34:32.84
351: cpuBusyTime.0 26 days, 22:59:31.88
352: cpuBusyTimePerCent.0 59
353: cpuIdleTime.0 60 days, 23:35:00.97
354: cpuIdleTimePerCent.0 41
355: cpuCount.0 4
356: cpuSwitchInvocations.0 241503332
357: cpuContextSwitches.0 1706217117
358: cpuInterrupts.0 3042474390
359: cpuNonCPInterrupts.0 3321357837
360: cpuCPInterruptPercent.0 0
361: cpuNonCPInterruptPercent.0 0
362: cpuTotalDomainSwitches.0 1498774141
363: miscNfsOps.0 39783222
364: miscNetRcvdKB.0 1388835040
365: miscNetSentKB.0 1430108334
366: miscGlobalStatus.0 ok(3)
367: miscHighNfsOps.0 5
368: miscLowNfsOps.0 39783271
369: miscHighCifsOps.0 0
370: miscLowCifsOps.0 3437
371: miscHighHttpOps.0 0
372: miscLowHttpOps.0 0
373: miscHighNetRcvdBytes.0 46411
374: miscLowNetRcvdBytes.0 533533940
375: miscHighNetSentBytes.0 15700
376: miscLowNetSentBytes.0 4142232418
377: miscHighDiskReadBytes.0 324739
378: miscLowDiskReadBytes.0 113836032
379: miscHighDiskWriteBytes.0 53337
380: miscLowDiskWriteBytes.0 491212800
381: miscHighTapeReadBytes.0 0
382: miscLowTapeReadBytes.0 0
383: miscHighTapeWriteBytes.0 0
384: miscLowTapeWriteBytes.0 0
385: miscCacheAge.0 3
386: miscCorrectedMachineChecks.0 0
387: miscGlobalStatusMessage.0 The system's global status is normal. 
388: miscWindowsSetupWizardVersion.0 1
389: misc64NfsOps.0 21514619761
390: misc64CifsOps.0 3437
391: misc64HttpOps.0 0
392: misc64NetRcvdBytes.0 199334260899164
393: misc64NetSentBytes.0 67435128833792
394: misc64DiskReadBytes.0 1394743506087936
395: misc64DiskWriteBytes.0 229081161879552
396: misc64TapeReadBytes.0 0
397: misc64TapeWriteBytes.0 0
398: cfSettings.0 enabled(2)
399: cfState.0 canTakeover(2)
400: cfCannotTakeoverCause.0 ok(1)
401: cfPartnerStatus.0 ok(2)
402: cfPartnerLastStatusUpdate.0 160 days, 21:58:21.52
403: cfPartnerName.0 stor02c2
404: cfPartnerSysid.0 2014941640
405: cfInterconnectStatus.0 up(4)
406: envOverTemperature.0 no(1)
407: envFailedFanCount.0 0
408: envFailedFanMessage.0 There are no failed fans.
409: envFailedPowerSupplyCount.0 0
410: envFailedPowerSupplyMessage.0 There are no failed power supplies.
411: nvramBatteryStatus.0 ok(1)
412: cpTime.0 61 days, 14:47:07.79
413: cpFromTimerOps.0 897074
414: cpFromSnapshotOps.0 1574
415: cpFromLowWaterOps.0 0
416: cpFromHighWaterOps.0 3575641
417: cpFromLogFullOps.0 76
418: cpFromCpOps.0 31675
419: cpTotalOps.0 4524305
420: cpFromFlushOps.0 0
421: cpFromSyncOps.0 18264
422: cpFromLowVbufOps.0 0
423: cpFromCpDeferredOps.0 1
424: cpFromLowDatavecsOps.0 0
425: autosupportStatus.0 ok(1)
426: autosupportStatusMessage.0 The last AutoSupport message was sent successfully.
427: autosupportSuccessfulSends.0 0
428: autosupportFailedSends.0 0
429: rpcCalls.0 39914635
430: rpcBadCalls.0 1836
431: rpcNullRecvs.0 0
432: rpcBadLens.0 0
433: rpcServXDRCalls.0 1836
434: rcpTcpCalls.0 39914646
435: rcpTcpBadCalls.0 1836
436: rcpTcpNullRecvs.0 0
437: rcpTcpBadLens.0 0
438: rcpTcpServXDRCalls.0 1836
439: rpcUdpCalls.0 0
440: rpcUdpBadCalls.0 0
441: rpcUdpNullRecvs.0 0
442: rpcUdpBadLens.0 0
443: rpcUdpServXDRCalls.0 0
444: nfsCalls.0 39783392
445: nfsServBadCalls.0 0
446: v2cNulls.0 0
447: v2cGetattrs.0 0
448: v2cSetattrs.0 0
449: v2cRoots.0 0
450: v2cLookups.0 0
451: v2cReadlinks.0 0
452: v2cReads.0 0
453: v2cWrcaches.0 0
454: v2cWrites.0 0
455: v2cCreates.0 0
456: v2cRemoves.0 0
457: v2cRenames.0 0
458: v2cLinks.0 0
459: v2cSymlinks.0 0
460: v2cMkdirs.0 0
461: v2cRmdirs.0 0
462: v2cReaddirs.0 0
463: v2cStatfss.0 0
464: v2pNulls.0 0
465: v2pGetattrs.0 0
466: v2pSetattrs.0 0
467: v2pRoots.0 0
468: v2pLookups.0 0
469: v2pReadlinks.0 0
470: v2pReads.0 0
471: v2pWrcaches.0 0
472: v2pWrites.0 0
473: v2pCreates.0 0
474: v2pRemoves.0 0
475: v2pRenames.0 0
476: v2pLinks.0 0
477: v2pSymlinks.0 0
478: v2pMkdirs.0 0
479: v2pRmdirs.0 0
480: v2pReaddirs.0 0
481: v2pStatfss.0 0
482: v2ccNulls.0 0
483: v2ccGetattrs.0 0
484: v2ccSetattrs.0 0
485: v2ccRoots.0 0
486: v2ccLookups.0 0
487: v2ccReadlinks.0 0
488: v2ccReads.0 0
489: v2ccWrcaches.0 0
490: v2ccWrites.0 0
491: v2ccCreates.0 0
492: v2ccRemoves.0 0
493: v2ccRenames.0 0
494: v2ccLinks.0 0
495: v2ccSymlinks.0 0
496: v2ccMkdirs.0 0
497: v2ccRmdirs.0 0
498: v2ccReaddirs.0 0
499: v2ccStatfss.0 0
500: v2cpNulls.0 0
501: v2cpGetattrs.0 0
502: v2cpSetattrs.0 0
503: v2cpRoots.0 0
504: v2cpLookups.0 0
505: v2cpReadlinks.0 0
506: v2cpReads.0 0
507: v2cpWrcaches.0 0
508: v2cpWrites.0 0
509: v2cpCreates.0 0
510: v2cpRemoves.0 0
511: v2cpRenames.0 0
512: v2cpLinks.0 0
513: v2cpSymlinks.0 0
514: v2cpMkdirs.0 0
515: v2cpRmdirs.0 0
516: v2cpReaddirs.0 0
517: v2cpStatfss.0 0
518: v3cNulls.0 2878
519: v3cGetattrs.0 1283849167
520: v3cSetattrs.0 7305335
521: v3cLookups.0 1120634
522: v3cAccesss.0 823155100
523: v3cReadlinks.0 1
524: v3cReads.0 4135687744
525: v3cWrites.0 2365887093
526: v3cCreates.0 1539
527: v3cMkdirs.0 281
528: v3cSymlinks.0 0
529: v3cMknods.0 0
530: v3cRemoves.0 688
