Running/dangyuanzhijia;webportal;i-10-1807-VM;sw01;172.17.0.26;lan|prod|ping
Running/erp;SAPIDES;i-14-1806-VM;sw01;172.17.0.19;lan|prod|ping
Running/gdupc;SJZX29;i-15-1797-VM;sw01;192.168.31.33;lan|prod|ping
Running/gdupc;SJZX27;i-15-1795-VM;sw01;192.168.31.31;lan|prod|ping
Running/gdupc;SJZX26;i-15-1794-VM;sw01;192.168.31.146;lan|prod|ping
Running/gdupc;SJZX16;i-15-1793-VM;sw01;192.168.31.62;lan|prod|ping
Running/gdupc;SJZX15;i-15-1792-VM;sw01;192.168.31.48;lan|prod|ping
Running/gdupc;SJZX25;i-15-1791-VM;sw01;192.168.31.24;lan|prod|ping
Running/gdupc;SJZX24;i-15-1790-VM;sw01;192.168.31.19;lan|prod|ping
Running/gdupc;SJZX23;i-15-1789-VM;sw01;192.168.31.18;lan|prod|ping
Running/gdupc;SJZX22;i-15-1788-VM;sw01;192.168.31.17;lan|prod|ping
Running/gdupc;SJZX21;i-15-1787-VM;sw01;192.168.31.16;lan|prod|ping
Running/gdupc;SJZX20;i-15-1786-VM;sw01;192.168.31.15;lan|prod|ping
Running/gdupc;SJZX19;i-15-1785-VM;sw01;192.168.31.193;lan|prod|ping
Running/gdupc;SJZX18;i-15-1784-VM;sw01;192.168.31.197;lan|prod|ping
Running/gdupc;SJZX17;i-15-1783-VM;sw01;192.168.31.88;lan|prod|ping
Running/ruanjianyanfa;nagios02;i-12-1398-VM;sw01;192.168.31.12;lan|prod|ping
Running/gdupc;modbus2;i-15-1397-VM;sw01;192.168.31.170;lan|prod|ping
Stopped/admin;(no)digitalpw;i-2-1780-VM;sw01;192.168.31.151;offline|ping|lan
Running/gdupc;modbus1;i-15-1396-VM;sw01;192.168.31.7;lan|prod|ping
Running/gdupc;data-transmit;i-15-1779-VM;sw01;192.168.31.139;lan|prod|ping
Stopped/isinternal;(tetst)mobilOA;i-18-1778-VM;sw01;172.17.0.25;offline|ping|lan
Running/jituanoamis;oarelease-is;i-16-1777-VM;sw01;172.17.0.10;lan|prod|ping
Running/erp;is-SVN;i-14-1776-VM;sw01;172.17.0.24;lan|prod|ping
Running/gdupc;data-receive;i-15-1770-VM;sw01;192.168.31.45;lan|prod|ping
Running/gdupc;SJZX-14;i-15-1768-VM;sw01;192.168.31.46;lan|prod|ping
Running/gdupc;SJZX-13;i-15-1767-VM;sw01;192.168.31.47;lan|prod|ping
Running/gdupc;SJZX-12;i-15-1766-VM;sw01;192.168.31.70;lan|prod|ping
Running/gdupc;SJZX-11;i-15-1765-VM;sw01;192.168.31.42;lan|prod|ping
Running/gdupc;SJZX-10;i-15-1764-VM;sw01;192.168.31.44;lan|prod|ping
Running/gdupc;SJZX-09;i-15-1763-VM;sw01;192.168.31.150;lan|prod|ping
Running/gdupc;SJZX-08;i-15-1762-VM;sw01;192.168.31.172;lan|prod|ping
Running/gdupc;SJZX-07;i-15-1761-VM;sw01;192.168.31.173;lan|prod|ping
Running/gdupc;SJZX-06;i-15-1760-VM;sw01;192.168.31.186;lan|prod|ping
Running/gdupc;SJZX-05;i-15-1759-VM;sw01;192.168.31.67;lan|prod|ping
Running/gdupc;SJZX-04;i-15-1758-VM;sw01;192.168.31.68;lan|prod|ping
Running/gdupc;SJZX03;i-15-1757-VM;sw01;192.168.31.87;lan|prod|ping
Running/gdupc;SJZX02;i-15-1752-VM;sw01;192.168.31.56;lan|prod|ping
Running/gdupc;SJZX01;i-15-1751-VM;sw01;192.168.31.57;lan|prod|ping
Running/dangyuanzhijia;tianren-web-db-is;i-10-1748-VM;sw01;172.17.0.22;lan|prod|ping
Running/dangyuanzhijia;tianren-web-is;i-10-1747-VM;sw01;172.17.0.15;lan|prod|ping
Running/isinternal;depmanage;i-18-1737-VM;sw01;172.17.0.18;lan|prod|ping
Stopped/fengce;TAIQI-DATA-COLLECT;i-7-1352-VM;sw01;192.168.31.72;offline|ping|lan
Running/fengce;TAIQI-WEB-SERVER;i-7-1351-VM;sw01;192.168.31.145;lan|prod|ping
Running/fengce;TAIQI-FILE-UPLOAD;i-7-1350-VM;sw01;192.168.31.160;lan|prod|ping
Running/fengce;TAIQI-LOCALPRED;i-7-1349-VM;sw01;192.168.31.29;lan|prod|ping
Running/dangyuanzhijia;tianren-forum;i-10-1722-VM;sw01;172.17.0.12;lan|prod|ping
Running/fengce;WPFVeStore2;i-7-1720-VM;sw01;192.168.31.2;lan|prod|ping
Running/xenvip;email;i-17-1715-VM;sw01;172.17.0.17;lan|prod|ping
Running/jituanoamis;jituanmis-is3;i-16-1709-VM;sw01;172.17.0.9;lan|prod|ping
